reference,challenger,subjects,draws,rmse_improvement_sd,rmse_ci_lower,rmse_ci_upper,precision_improvement,precision_ci_lower,precision_ci_upper
population_mean,family_score_ridge,112,5000,0.3972492164554836,0.3506427505241715,0.4459916062898318,0.23382063035774156,0.20668612276338602,0.2623264416951311
random_group_score_ridge,family_score_ridge,112,5000,-0.026328988298796152,-0.042879454401125325,-0.010388545851969475,0.016608719896680335,-0.024728814957642856,0.059100294153047475
all_visible_ridge,family_score_ridge,112,5000,-0.48999847735871244,-0.5106949159671575,-0.4693717852953072,-0.5829461503027653,-0.6136865093303264,-0.5517599912721937
