model,samples,subjects,prediction_pairs,row_weighted_rmse_sd,equal_subject_weighted_rmse_sd,pooled_r2,precision_at_k,equal_subject_precision_at_k,ndcg_at_k
all_visible_ridge,1539,112,758727,0.17469607896126818,0.17798531620309438,0.9702515171754093,0.9725362789690274,0.9741322839987484,0.9619115176089351
family_score_ridge,1539,112,758727,0.650255537003897,0.6679837935618068,0.587839256569974,0.4029456356941737,0.39118613369598315,0.633141038055094
population_mean,1539,112,758727,1.012863093306374,1.0652330100172904,0.0,0.15447260125622697,0.1573655033382416,0.3693806948590562
random_group_score_ridge,1539,112,758727,0.6271285120647957,0.6416548052630107,0.6166357604513352,0.3691141433831492,0.3745774137993028,0.606331045783776
