feature,family
TAG50:2-FA18:0,TAG
TAG50:2-FA18:1,TAG
TAG50:2-FA18:2,TAG
TAG50:3-FA14:0,TAG
TAG50:3-FA14:1,TAG
TAG50:3-FA16:0,TAG
TAG50:3-FA16:1,TAG
TAG50:3-FA18:0,TAG
TAG50:3-FA18:1,TAG
TAG50:3-FA18:2,TAG
TAG50:3-FA18:3,TAG
TAG50:4-FA14:0,TAG
TAG50:4-FA14:1,TAG
TAG50:4-FA16:0,TAG
TAG50:4-FA16:1,TAG
TAG50:4-FA18:1,TAG
TAG50:4-FA18:2,TAG
TAG50:4-FA18:3,TAG
TAG50:5-FA14:0,TAG
TAG50:5-FA16:1,TAG
TAG50:5-FA18:1,TAG
TAG50:5-FA18:2,TAG
TAG50:5-FA18:3,TAG
TAG51:0-FA16:0,TAG
TAG51:0-FA17:0,TAG
TAG51:1-FA15:0,TAG
TAG51:1-FA16:0,TAG
TAG51:1-FA17:0,TAG
TAG51:1-FA18:0,TAG
TAG51:1-FA18:1,TAG
TAG51:2-FA15:0,TAG
TAG51:2-FA16:0,TAG
TAG51:2-FA16:1,TAG
TAG51:2-FA17:0,TAG
TAG51:2-FA18:1,TAG
TAG51:2-FA18:2,TAG
TAG51:3-FA15:0,TAG
TAG51:3-FA16:1,TAG
TAG51:3-FA17:0,TAG
TAG51:3-FA18:2,TAG
TAG51:4-FA15:0,TAG
TAG51:4-FA16:1,TAG
TAG51:4-FA18:2,TAG
TAG51:4-FA18:3,TAG
TAG51:5-FA18:2,TAG
TAG52:0-FA16:0,TAG
TAG52:0-FA18:0,TAG
TAG52:0-FA20:0,TAG
TAG52:1-FA16:0,TAG
TAG52:1-FA16:1,TAG
TAG52:1-FA18:0,TAG
TAG52:1-FA18:1,TAG
TAG52:1-FA20:1,TAG
TAG52:2-FA16:0,TAG
TAG52:2-FA16:1,TAG
TAG52:2-FA18:0,TAG
TAG52:2-FA18:1,TAG
TAG52:2-FA18:2,TAG
TAG52:2-FA20:1,TAG
TAG52:2-FA20:2,TAG
TAG52:3-FA14:0,TAG
TAG52:3-FA16:0,TAG
TAG52:3-FA16:1,TAG
TAG52:3-FA18:0,TAG
TAG52:3-FA18:1,TAG
TAG52:3-FA18:2,TAG
TAG52:3-FA18:3,TAG
TAG52:3-FA20:0,TAG
TAG52:3-FA20:1,TAG
TAG52:3-FA20:2,TAG
TAG52:3-FA20:3,TAG
TAG52:4-FA14:0,TAG
TAG52:4-FA16:0,TAG
TAG52:4-FA16:1,TAG
TAG52:4-FA18:0,TAG
TAG52:4-FA18:1,TAG
TAG52:4-FA18:2,TAG
TAG52:4-FA18:3,TAG
TAG52:4-FA20:0,TAG
TAG52:4-FA20:2,TAG
TAG52:4-FA20:3,TAG
TAG52:4-FA20:4,TAG
TAG52:5-FA14:0,TAG
TAG52:5-FA16:0,TAG
TAG52:5-FA16:1,TAG
TAG52:5-FA18:1,TAG
TAG52:5-FA18:2,TAG
TAG52:5-FA18:3,TAG
TAG52:5-FA20:4,TAG
TAG52:5-FA20:5,TAG
TAG52:5-FA22:5,TAG
TAG52:6-FA16:0,TAG
TAG52:6-FA16:1,TAG
TAG52:6-FA18:1,TAG
TAG52:6-FA18:2,TAG
TAG52:6-FA18:3,TAG
TAG52:6-FA20:4,TAG
TAG52:6-FA20:5,TAG
TAG52:6-FA22:6,TAG
TAG52:7-FA16:0,TAG
TAG52:7-FA18:1,TAG
TAG53:0-FA16:0,TAG
TAG53:1-FA16:0,TAG
TAG53:1-FA17:0,TAG
TAG53:1-FA18:0,TAG
TAG53:1-FA18:1,TAG
TAG53:2-FA16:0,TAG
TAG53:2-FA17:0,TAG
TAG53:2-FA18:1,TAG
TAG53:2-FA18:2,TAG
TAG53:3-FA16:0,TAG
TAG53:3-FA17:0,TAG
TAG53:3-FA18:2,TAG
TAG53:4-FA16:0,TAG
TAG53:4-FA17:0,TAG
TAG53:4-FA18:2,TAG
TAG53:4-FA18:3,TAG
TAG53:5-FA20:4,TAG
TAG54:0-FA18:0,TAG
TAG54:1-FA16:0,TAG
TAG54:1-FA18:0,TAG
TAG54:1-FA18:1,TAG
TAG54:1-FA20:0,TAG
TAG54:1-FA20:1,TAG
TAG54:2-FA16:0,TAG
TAG54:2-FA18:0,TAG
TAG54:2-FA18:1,TAG
TAG54:2-FA18:2,TAG
TAG54:2-FA20:0,TAG
TAG54:2-FA20:1,TAG
TAG54:2-FA20:2,TAG
TAG54:3-FA16:0,TAG
TAG54:3-FA16:1,TAG
TAG54:3-FA18:0,TAG
TAG54:3-FA18:1,TAG
TAG54:3-FA18:2,TAG
TAG54:3-FA18:3,TAG
TAG54:3-FA20:1,TAG
TAG54:3-FA20:2,TAG
TAG54:3-FA20:3,TAG
TAG54:4-FA16:0,TAG
TAG54:4-FA16:1,TAG
TAG54:4-FA18:0,TAG
TAG54:4-FA18:1,TAG
TAG54:4-FA18:2,TAG
TAG54:4-FA18:3,TAG
TAG54:4-FA20:1,TAG
TAG54:4-FA20:2,TAG
TAG54:4-FA20:3,TAG
TAG54:4-FA20:4,TAG
TAG54:4-FA22:1,TAG
TAG54:4-FA22:4,TAG
TAG54:5-FA16:0,TAG
TAG54:5-FA16:1,TAG
TAG54:5-FA18:0,TAG
TAG54:5-FA18:1,TAG
TAG54:5-FA18:2,TAG
TAG54:5-FA18:3,TAG
TAG54:5-FA20:2,TAG
