dataset,feature,family,complete,accepted,exclusion_reason,mask,raw_descriptors,filtered_descriptors,filtered_descriptor_count
ST002081,PE(O-16:0_18:2),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:18:2;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:2;family:PE;family_unsaturation:PE:2;total_carbon:34;total_unsaturation:2,,0
ST002081,PE(O-16:0_20:3),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:20:3;chain_carbon:16;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:3;family:PE;family_unsaturation:PE:3;total_carbon:36;total_unsaturation:3,,0
ST002081,PE(O-16:0_20:4),PE,True,True,accepted,0.0,acyl:16:0;acyl:20:4;chain_carbon:16;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:4;family:PE;family_unsaturation:PE:4;total_carbon:36;total_unsaturation:4,acyl:16:0;acyl:20:4;chain_carbon:16;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:4;family:PE;family_unsaturation:PE:4;total_carbon:36;total_unsaturation:4,10
ST002081,PE(O-16:0_20:5),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:20:5;chain_carbon:16;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:5;family:PE;family_unsaturation:PE:5;total_carbon:36;total_unsaturation:5,,0
ST002081,PE(O-16:0_22:4),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:22:4;chain_carbon:16;chain_carbon:22;chain_unsaturation:0;chain_unsaturation:4;family:PE;family_unsaturation:PE:4;total_carbon:38;total_unsaturation:4,,0
ST002081,PE(O-16:0_22:5),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:22:5;chain_carbon:16;chain_carbon:22;chain_unsaturation:0;chain_unsaturation:5;family:PE;family_unsaturation:PE:5;total_carbon:38;total_unsaturation:5,,0
ST002081,PE(O-16:0_22:6),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:22:6;chain_carbon:16;chain_carbon:22;chain_unsaturation:0;chain_unsaturation:6;family:PE;family_unsaturation:PE:6;total_carbon:38;total_unsaturation:6,,0
ST002081,PE(O-18:0_16:0),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:18:0;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;family:PE;family_unsaturation:PE:0;total_carbon:34;total_unsaturation:0,,0
ST002081,PE(O-18:0_18:1),PE,False,False,incomplete_across_eligible_samples,,acyl:18:0;acyl:18:1;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:1;family:PE;family_unsaturation:PE:1;total_carbon:36;total_unsaturation:1,,0
ST002081,PE(O-18:0_18:2),PE,False,False,incomplete_across_eligible_samples,,acyl:18:0;acyl:18:2;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:2;family:PE;family_unsaturation:PE:2;total_carbon:36;total_unsaturation:2,,0
ST002081,PE(O-18:0_20:3),PE,False,False,incomplete_across_eligible_samples,,acyl:18:0;acyl:20:3;chain_carbon:18;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:3;family:PE;family_unsaturation:PE:3;total_carbon:38;total_unsaturation:3,,0
ST002081,PE(O-18:0_20:4),PE,True,True,accepted,4.0,acyl:18:0;acyl:20:4;chain_carbon:18;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:4;family:PE;family_unsaturation:PE:4;total_carbon:38;total_unsaturation:4,acyl:18:0;acyl:20:4;chain_carbon:18;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:4;family:PE;family_unsaturation:PE:4;total_carbon:38;total_unsaturation:4,10
ST002081,PE(O-18:0_20:5),PE,False,False,incomplete_across_eligible_samples,,acyl:18:0;acyl:20:5;chain_carbon:18;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:5;family:PE;family_unsaturation:PE:5;total_carbon:38;total_unsaturation:5,,0
ST002081,PE(O-18:0_22:4),PE,False,False,incomplete_across_eligible_samples,,acyl:18:0;acyl:22:4;chain_carbon:18;chain_carbon:22;chain_unsaturation:0;chain_unsaturation:4;family:PE;family_unsaturation:PE:4;total_carbon:40;total_unsaturation:4,,0
ST002081,PE(O-18:0_22:5),PE,False,False,incomplete_across_eligible_samples,,acyl:18:0;acyl:22:5;chain_carbon:18;chain_carbon:22;chain_unsaturation:0;chain_unsaturation:5;family:PE;family_unsaturation:PE:5;total_carbon:40;total_unsaturation:5,,0
ST002081,PE(O-18:0_22:6),PE,False,False,incomplete_across_eligible_samples,,acyl:18:0;acyl:22:6;chain_carbon:18;chain_carbon:22;chain_unsaturation:0;chain_unsaturation:6;family:PE;family_unsaturation:PE:6;total_carbon:40;total_unsaturation:6,,0
ST002081,PE(P-16:0_16:0),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;chain_carbon:16;chain_unsaturation:0;family:PE;family_unsaturation:PE:0;total_carbon:32;total_unsaturation:0,,0
ST002081,PE(P-16:0_18:1),PE,True,True,accepted,4.0,acyl:16:0;acyl:18:1;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:1;family:PE;family_unsaturation:PE:1;total_carbon:34;total_unsaturation:1,acyl:16:0;acyl:18:1;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:1;family:PE;total_carbon:34;total_unsaturation:1,9
ST002081,PE(P-16:0_18:2),PE,True,True,accepted,4.0,acyl:16:0;acyl:18:2;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:2;family:PE;family_unsaturation:PE:2;total_carbon:34;total_unsaturation:2,acyl:16:0;acyl:18:2;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:2;family:PE;family_unsaturation:PE:2;total_carbon:34;total_unsaturation:2,10
ST002081,PE(P-16:0_18:3),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:18:3;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:3;family:PE;family_unsaturation:PE:3;total_carbon:34;total_unsaturation:3,,0
ST002081,PE(P-16:0_20:3),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:20:3;chain_carbon:16;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:3;family:PE;family_unsaturation:PE:3;total_carbon:36;total_unsaturation:3,,0
ST002081,PE(P-16:0_20:4),PE,True,True,accepted,0.0,acyl:16:0;acyl:20:4;chain_carbon:16;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:4;family:PE;family_unsaturation:PE:4;total_carbon:36;total_unsaturation:4,acyl:16:0;acyl:20:4;chain_carbon:16;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:4;family:PE;family_unsaturation:PE:4;total_carbon:36;total_unsaturation:4,10
ST002081,PE(P-16:0_20:5),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:20:5;chain_carbon:16;chain_carbon:20;chain_unsaturation:0;chain_unsaturation:5;family:PE;family_unsaturation:PE:5;total_carbon:36;total_unsaturation:5,,0
ST002081,PE(P-16:0_22:4),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:22:4;chain_carbon:16;chain_carbon:22;chain_unsaturation:0;chain_unsaturation:4;family:PE;family_unsaturation:PE:4;total_carbon:38;total_unsaturation:4,,0
ST002081,PE(P-16:0_22:5),PE,True,True,accepted,3.0,acyl:16:0;acyl:22:5;chain_carbon:16;chain_carbon:22;chain_unsaturation:0;chain_unsaturation:5;family:PE;family_unsaturation:PE:5;total_carbon:38;total_unsaturation:5,acyl:16:0;acyl:22:5;chain_carbon:16;chain_carbon:22;chain_unsaturation:0;chain_unsaturation:5;family:PE;total_carbon:38;total_unsaturation:5,9
ST002081,PE(P-16:0_22:6),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:22:6;chain_carbon:16;chain_carbon:22;chain_unsaturation:0;chain_unsaturation:6;family:PE;family_unsaturation:PE:6;total_carbon:38;total_unsaturation:6,,0
ST002081,PE(P-18:0_16:0),PE,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:18:0;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;family:PE;family_unsaturation:PE:0;total_carbon:34;total_unsaturation:0,,0
ST002081,PE(P-18:0_16:1),PE,False,False,incomplete_across_eligible_samples,,acyl:16:1;acyl:18:0;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:1;family:PE;family_unsaturation:PE:1;total_carbon:34;total_unsaturation:1,,0
