random_feature_seed,targets,target_digest,random_rmse_sd,factorized_rmse_sd,improvement_sd,ci_lower,ci_upper,mean_metabolite_log_degree_imbalance,mean_metabolite_coverage_imbalance,mean_signature_log_degree_imbalance
20262100,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9414927464961288,0.7967808043874182,0.14471194210871052,0.09849568032760528,0.1937226164722404,0.0545885913012132,0.0,0.009209350045694795
20262101,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.933906346149689,0.7967808043874182,0.13712554176227087,0.09135751806427583,0.18290894777368102,0.055633043810648174,0.0,0.009209350045694807
20262102,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9261682984189421,0.7967808043874182,0.12938749403152383,0.08704392678541947,0.17781312517192782,0.0545885913012132,0.0,0.009209350045694798
20262103,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9384559413316497,0.7967808043874182,0.1416751369442314,0.09858877105027732,0.1893555769026331,0.05563304381064818,0.0,0.009209350045694802
20262104,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.931985570774815,0.7967808043874182,0.13520476638739687,0.09195175592171208,0.179924853121701,0.055633043810648174,0.0,0.009209350045694797
20262105,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9346696279466383,0.7967808043874182,0.13788882355922016,0.0942509541814493,0.18344770872349306,0.055633043810648174,0.0,0.009209350045694795
20262106,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9277076995209274,0.7967808043874182,0.1309268951335093,0.08953406448975273,0.17967346178417373,0.05563304381064819,0.0,0.009209350045694795
20262107,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9437878962644295,0.7967808043874182,0.14700709187701133,0.1050136587414114,0.19473213975902892,0.05563304381064817,0.0,0.009209350045694804
20262108,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9309053302367689,0.7967808043874182,0.13412452584935075,0.09630077304362786,0.1746164508013088,0.055633043810648194,0.0,0.009209350045694795
20262109,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.92036840591302,0.7967808043874182,0.12358760152560189,0.07501855239338927,0.17297694437872338,0.0545885913012132,0.0,0.009209350045694802
20262110,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.94052115665726,0.7967808043874182,0.14374035226984183,0.10237438028947043,0.1860090031954903,0.05563304381064819,0.0,0.009209350045694804
20262111,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9403036675187031,0.7967808043874182,0.14352286313128493,0.09867591663873557,0.19372421214786628,0.05563304381064818,0.0,0.009209350045694804
20262112,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.935292461940813,0.7967808043874182,0.13851165755339478,0.09660707469441206,0.18483607740049351,0.055633043810648146,0.0,0.009209350045694802
20262113,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.912707621054768,0.7967808043874182,0.11592681666734994,0.07130574172268078,0.16236757011964242,0.05563304381064818,0.0,0.009209350045694797
20262114,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9446556580480887,0.7967808043874182,0.14787485366067044,0.10162341116122553,0.19707614354961223,0.05458859130121321,0.0,0.009209350045694797
20262115,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9309861653985695,0.7967808043874182,0.13420536101115133,0.08874525958908835,0.1809844688864645,0.05563304381064818,0.0,0.009209350045694798
20262116,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9454163057099545,0.7967808043874182,0.14863550132253645,0.10146495347769952,0.19911521869191753,0.055633043810648174,0.0,0.009209350045694805
20262117,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9426341748866401,0.7967808043874182,0.1458533704992221,0.10466485746000727,0.18920086109367226,0.05458859130121322,0.0,0.009209350045694795
20262118,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9318064137804387,0.7967808043874182,0.13502560939302055,0.08864937821293509,0.18248763217427114,0.05458859130121322,0.0,0.009209350045694807
20262119,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9298762354806626,0.7967808043874182,0.1330954310932444,0.09085488156446322,0.17789142589656695,0.05563304381064818,0.0,0.009209350045694805
