model,samples,subjects,prediction_pairs,row_weighted_rmse_sd,equal_subject_weighted_rmse_sd,pooled_r2,precision_at_k,equal_subject_precision_at_k,ndcg_at_k
all_visible_ridge,450,15,114750,0.8398206052352902,0.8412446326494826,0.823642978087504,0.6857777777777778,0.6857777777777779,0.8006956119886325
family_score_ridge,450,15,114750,1.877673808565111,1.8930565187817554,0.11842350709585314,0.2997037037037037,0.2997037037037037,0.5090761761133676
population_mean,450,15,114750,1.9998165020465073,2.014539669216681,0.0,0.13629629629629628,0.13629629629629625,0.32823722119880006
random_group_score_ridge,450,15,114750,1.912594982854539,1.9282986350154103,0.08532727501636173,0.21125925925925926,0.2112592592592592,0.42412404172264967
degree_preserving_random_structural_ridge,450,15,114750,1.785465366598465,1.8006109497422358,0.2016438322722649,0.47851851851851845,,0.6434779268021539
structural_descriptor_ridge,450,15,114750,1.237399159032854,1.2417611728765787,0.6165458370694986,0.5739259259259258,,0.7163070378224934
