reference,challenger,subjects,draws,rmse_improvement_sd,rmse_ci_lower,rmse_ci_upper,precision_improvement,precision_ci_lower,precision_ci_upper
population_mean,structural_descriptor_ridge,15,5000,0.7720321467777533,0.3555273289638178,1.2047903535568492,0.43874074074074065,0.3996296296296296,0.486074074074074
family_score_ridge,structural_descriptor_ridge,15,5000,0.6512953459051767,0.14497621124705132,1.1064619791322796,0.27422222222222215,0.23733333333333334,0.3297777777777777
all_visible_ridge,structural_descriptor_ridge,15,5000,-0.40051654022709615,-0.7073054080930994,-0.0738514712743352,-0.11185185185185209,-0.1259296296296297,-0.0988148148148148
