feature,family
TG 49:2; [M+NH4]+@10.24,TAG
TG 49:3; [M+NH4]+@10.03,TAG
TG 50:0; [M+NH4]+@10.78,TAG
TG 50:1; [M+NH4]+@10.54,TAG
TG 50:2; [M+NH4]+@10.33,TAG
TG 50:3; [M+NH4]+@10.13,TAG
TG 50:4; [M+NH4]+@9.91,TAG
TG 50:5; [M+NH4]+@9.73,TAG
TG 51:1; [M+NH4]+@10.69,TAG
TG 51:2; [M+NH4]+@10.50,TAG
TG 51:3; [M+NH4]+@10.30,TAG
TG 51:4; [M+NH4]+@10.10,TAG
TG 51:5; [M+NH4]+@9.88,TAG
TG 51:6; [M+NH4]+@9.64,TAG
TG 52:0; [M+NH4]+@11.03,TAG
TG 52:1; [M+NH4]+@10.81,TAG
TG 52:2; [M+NH4]+@10.58,TAG
TG 52:3; [M+NH4]+@10.38,TAG
TG 52:4; [M+NH4]+@10.18,TAG
TG 52:5; [M+NH4]+@9.99,TAG
TG 52:6; [M+NH4]+@9.82,TAG
TG 52:7; [M+NH4]+@9.66,TAG
TG 53:1; [M+NH4]+@10.92,TAG
TG 53:2; [M+NH4]+@10.73,TAG
TG 53:3; [M+NH4]+@10.52,TAG
TG 53:4; [M+NH4]+@10.34,TAG
TG 53:5; [M+NH4]+@10.16,TAG
TG 53:6; [M+NH4]+@10.03,TAG
TG 53:7; [M+NH4]+@9.76,TAG
TG 54:0; [M+NH4]+@11.24,TAG
TG 54:1; [M+NH4]+@11.04,TAG
TG 54:2; [M+NH4]+@10.84,TAG
TG 54:3; [M+NH4]+@10.66,TAG
TG 54:4; [M+NH4]+@10.45,TAG
TG 54:5; [M+NH4]+@10.23,TAG
TG 54:6; [M+NH4]+@10.04,TAG
TG 54:7; [M+NH4]+@9.88,TAG
TG 54:8; [M+NH4]+@9.72,TAG
TG 54:9; [M+NH4]+@9.56,TAG
TG 55:2; [M+NH4]+@10.95,TAG
TG 55:3; [M+NH4]+@10.76,TAG
TG 55:4; [M+NH4]+@10.56,TAG
TG 55:5; [M+NH4]+@10.47,TAG
TG 55:6; [M+NH4]+@10.28,TAG
TG 55:7; [M+NH4]+@10.10,TAG
TG 55:8; [M+NH4]+@9.93,TAG
TG 56:10; [M+NH4]+@9.66,TAG
TG 56:1; [M+NH4]+@11.24,TAG
TG 56:2; [M+NH4]+@11.05,TAG
TG 56:3; [M+NH4]+@10.88,TAG
TG 56:4; [M+NH4]+@10.71,TAG
TG 56:5; [M+NH4]+@10.55,TAG
TG 56:6; [M+NH4]+@10.39,TAG
TG 56:7; [M+NH4]+@10.19,TAG
TG 56:8; [M+NH4]+@10.00,TAG
TG 56:9; [M+NH4]+@9.81,TAG
TG 57:1; [M+NH4]+@11.40,TAG
TG 57:2; [M+NH4]+@11.18,TAG
TG 57:9; [M+NH4]+@10.02,TAG
TG 58:10; [M+NH4]+@9.94,TAG
TG 58:11; [M+NH4]+@9.77,TAG
TG 58:1; [M+NH4]+@11.54,TAG
TG 58:2; [M+NH4]+@11.30,TAG
TG 58:3; [M+NH4]+@11.09,TAG
TG 58:4; [M+NH4]+@10.93,TAG
TG 58:5; [M+NH4]+@10.78,TAG
TG 58:6; [M+NH4]+@10.59,TAG
TG 58:7; [M+NH4]+@10.43,TAG
TG 58:8; [M+NH4]+@10.30,TAG
TG 58:9; [M+NH4]+@10.14,TAG
TG 60:10; [M+NH4]+@10.18,TAG
TG 60:11; [M+NH4]+@10.05,TAG
TG 60:12; [M+NH4]+@9.90,TAG
TG 60:13; [M+NH4]+@9.72,TAG
TG 60:3; [M+NH4]+@11.29,TAG
TG 60:4; [M+NH4]+@11.12,TAG
TG 60:6; [M+NH4]+@10.81,TAG
TG 60:7; [M+NH4]+@10.68,TAG
TG 60:8; [M+NH4]+@10.52,TAG
TG 60:9; [M+NH4]+@10.35,TAG
TG 62:13; [M+NH4]+@9.93,TAG
TG 62:14; [M+NH4]+@9.84,TAG
TG 62:3; [M+NH4]+@11.55,TAG
TG 62:4; [M+NH4]+@11.33,TAG
TG 62:5; [M+NH4]+@11.15,TAG
lysoPC 14:0; [M+H]+@1.04,LPC
lysoPC 15:0; [M+H]+@1.20,LPC
lysoPC 16:0; [M+H]+@1.54,LPC
lysoPC 16:1; [M+H]+@1.22,LPC
lysoPC 17:1; [M+H]+@1.41,LPC
lysoPC 18:0; [M+H]+@2.31,LPC
lysoPC 18:1; [M+H]+@1.71,LPC
lysoPC 18:2; [M+H]+@1.30,LPC
lysoPC 18:3; [M+H]+@1.07,LPC
lysoPC 19:0; [M+H]+@2.79,LPC
lysoPC 20:0; [M+H]+@3.25,LPC
lysoPC 20:1; [M+H]+@2.48,LPC
lysoPC 20:2; [M+H]+@1.89,LPC
lysoPC 20:3; [M+H]+@1.49,LPC
lysoPC 20:4; [M+H]+@1.34,LPC
lysoPC 20:5; [M+H]+@0.99,LPC
lysoPC 22:0; [M+H]+@4.17,LPC
lysoPC 22:1; [M+H]+@3.36,LPC
lysoPC 22:4; [M+H]+@1.74,LPC
lysoPC 22:5; [M+H]+@1.45,LPC
lysoPC 22:6; [M+H]+@1.27,LPC
lysoPC 24:0; [M+H]+@5.06,LPC
lysoPC 24:1; [M+H]+@4.20,LPC
