trait_id,trait_description,context,catalog_trait,accession,cohort,trait,variant_count,pubmed_id,md5,genome_assembly
Gln,Glutamine,ever_drinking,Glutamine x ever-drinking interaction,GCST90687157,UKB,Glutamine x ever-drinking interaction,1478361,41606330,317bde147b5f99715e66e87e9f6c2e62,GRCh37
Gln,Glutamine,ever_smoking,Glutamine x ever-smoking interaction,GCST90683907,BBJ,Glutamine x ever-smoking interaction,1009497,41606330,02e7a80d44e2cefbfa54ce6cf1ac2445,GRCh37
Gln,Glutamine,ever_smoking,Glutamine x ever-smoking interaction,GCST90687482,UKB,Glutamine x ever-smoking interaction,1478352,41606330,d7fc0f9523d7d50eb259b0740b00a79e,GRCh37
Gln,Glutamine,physical_activity,Glutamine x physical activity interaction,GCST90685532,BBJ,Glutamine x physical activity interaction,1009443,41606330,938f8c722165ba5540dedd688121ab26,GRCh37
Gln,Glutamine,physical_activity,Glutamine x physical activity interaction,GCST90689107,UKB,Glutamine x physical activity interaction,1478350,41606330,4fb07cd0e8714c80b55721810604fe05,GRCh37
Gln,Glutamine,sex,Glutamine x sex interaction,GCST90682932,BBJ,Glutamine x sex interaction,1009513,41606330,0aad26575f351f60fe85d3db0c514fb4,GRCh37
Gln,Glutamine,sex,Glutamine x sex interaction,GCST90686507,UKB,Glutamine x sex interaction,1478349,41606330,f06a1152ce0c0db5e1ced1adedbb07e5,GRCh37
Gly,Glycine,age,Glycine x age interaction,GCST90683258,BBJ,Glycine x age interaction,1009513,41606330,467d4bca7abbc7db128d97f51419d584,GRCh37
Gly,Glycine,age,Glycine x age interaction,GCST90686833,UKB,Glycine x age interaction,1478362,41606330,2027d1722fe0ac28b37d88b15dd8c2ef,GRCh37
Gly,Glycine,current_smoking,Glycine x current-smoking interaction,GCST90684233,BBJ,Glycine x current-smoking interaction,1009475,41606330,0c21a497f72c85a10f9c7330fc7d82b4,GRCh37
Gly,Glycine,current_smoking,Glycine x current-smoking interaction,GCST90687808,UKB,Glycine x current-smoking interaction,1478362,41606330,09d772a4ad5921a60e6355bd8f3168c4,GRCh37
Gly,Glycine,ever_drinking,Glycine x ever-drinking interaction,GCST90683583,BBJ,Glycine x ever-drinking interaction,1009508,41606330,5452a3c11d7bba1a30ec4ee2aa4c5311,GRCh37
Gly,Glycine,ever_drinking,Glycine x ever-drinking interaction,GCST90687158,UKB,Glycine x ever-drinking interaction,1478364,41606330,b33313944dcf5e5605c0837d7d3f9161,GRCh37
Gly,Glycine,ever_smoking,Glycine x ever-smoking interaction,GCST90683908,BBJ,Glycine x ever-smoking interaction,1009492,41606330,b25fcd45b0ffbc86a5ab12b3fe6c9db3,GRCh37
Gly,Glycine,ever_smoking,Glycine x ever-smoking interaction,GCST90687483,UKB,Glycine x ever-smoking interaction,1478362,41606330,16612163ba70aa2f1724da6008a68762,GRCh37
Gly,Glycine,physical_activity,Glycine x physical activity interaction,GCST90685533,BBJ,Glycine x physical activity interaction,1009474,41606330,b955c9299732bd616589f4032b827f6d,GRCh37
Gly,Glycine,physical_activity,Glycine x physical activity interaction,GCST90689108,UKB,Glycine x physical activity interaction,1478365,41606330,0b1f940eb32753781dc72bc98c9136e6,GRCh37
Gly,Glycine,sex,Glycine x sex interaction,GCST90682933,BBJ,Glycine x sex interaction,1009513,41606330,7aae753e4906cd239a97aef018a75d1a,GRCh37
Gly,Glycine,sex,Glycine x sex interaction,GCST90686508,UKB,Glycine x sex interaction,1478362,41606330,db607b5087c5036f015e2057b3b43e95,GRCh37
Lactate,Lactate,age,Lactate x age interaction,GCST90683267,BBJ,Lactate x age interaction,1009510,41606330,1e0e82312979c5619c076b6ed58a03a2,GRCh37
Lactate,Lactate,age,Lactate x age interaction,GCST90686842,UKB,Lactate x age interaction,1478392,41606330,12ee51f800b9c1dcb890cea056fca451,GRCh37
Lactate,Lactate,current_smoking,Lactate x current-smoking interaction,GCST90684242,BBJ,Lactate x current-smoking interaction,1009458,41606330,5342490d6288e2c0eb08aeb1bde9b211,GRCh37
Lactate,Lactate,current_smoking,Lactate x current-smoking interaction,GCST90687817,UKB,Lactate x current-smoking interaction,1478388,41606330,dda2f71242ff183d56604aa8af6c11da,GRCh37
Lactate,Lactate,ever_drinking,Lactate x ever-drinking interaction,GCST90683592,BBJ,Lactate x ever-drinking interaction,1009497,41606330,0bf0f662a133661f1c1c4858559817c3,GRCh37
Lactate,Lactate,ever_drinking,Lactate x ever-drinking interaction,GCST90687167,UKB,Lactate x ever-drinking interaction,1478394,41606330,3f7334ac0bc6fa6186a7ec0af5aa034e,GRCh37
Lactate,Lactate,ever_smoking,Lactate x ever-smoking interaction,GCST90683917,BBJ,Lactate x ever-smoking interaction,1009482,41606330,076a0d08815d51f094409ea24020ccd7,GRCh37
Lactate,Lactate,ever_smoking,Lactate x ever-smoking interaction,GCST90687492,UKB,Lactate x ever-smoking interaction,1478388,41606330,563b3aa3b86985ff61d2fc5660d924cd,GRCh37
Lactate,Lactate,physical_activity,Lactate x physical activity interaction,GCST90685542,BBJ,Lactate x physical activity interaction,1009449,41606330,82120b794d30d563233913c6339fc9b2,GRCh37
Lactate,Lactate,physical_activity,Lactate x physical activity interaction,GCST90689117,UKB,Lactate x physical activity interaction,1478396,41606330,1be794c485f002d23e328d993161fcb4,GRCh37
Lactate,Lactate,sex,Lactate x sex interaction,GCST90682942,BBJ,Lactate x sex interaction,1009510,41606330,bdcf60f78da305203ede4621e0feec03,GRCh37
Lactate,Lactate,sex,Lactate x sex interaction,GCST90686517,UKB,Lactate x sex interaction,1478392,41606330,1aa968f9de9db9a85859dc8e6d9c0cde,GRCh37
Phe,Phenylalanine,age,Phenylalanine x age interaction,GCST90683264,BBJ,Phenylalanine x age interaction,1009500,41606330,42a486ab88f5eb9a211949b05d33c721,GRCh37
Phe,Phenylalanine,age,Phenylalanine x age interaction,GCST90686839,UKB,Phenylalanine x age interaction,1478373,41606330,46388dc52de3e251399855d3d13281b2,GRCh37
Phe,Phenylalanine,current_smoking,Phenylalanine x current-smoking interaction,GCST90684239,BBJ,Phenylalanine x current-smoking interaction,1009450,41606330,39fe503f009e917d79b2030635961958,GRCh37
