random_feature_seed,targets,target_digest,random_rmse_sd,factorized_rmse_sd,improvement_sd,ci_lower,ci_upper,mean_metabolite_log_degree_imbalance,mean_metabolite_coverage_imbalance,mean_signature_log_degree_imbalance
20262000,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9269320390390193,0.7967808043874182,0.13015123465160117,0.08176151005532023,0.18056586717576734,1.0816676817149364,0.0,0.3810725516682007
20262001,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9240783304659032,0.7967808043874182,0.127297526078485,0.08477353284143603,0.17109641611676174,0.9200764341136249,0.0,0.3660203224354689
20262002,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9021374084790644,0.7967808043874182,0.10535660409164649,0.05460954663614254,0.15725927793818192,1.1052415417553185,0.0,0.3780778807555779
20262003,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9248113095344019,0.7967808043874182,0.12803050514698366,0.08041259489827039,0.1723024165498139,1.0681799831733267,0.0,0.26852559133830667
20262004,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9358623302264071,0.7967808043874182,0.13908152583898903,0.09770578836273841,0.18534793655584614,1.0247644123615207,0.0,0.3344435368739889
20262005,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9206257994311124,0.7967808043874182,0.12384499504369417,0.07093430143493341,0.17584462391205224,0.9685641271462441,0.0,0.34977325167022677
20262006,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9388014599682643,0.7967808043874182,0.1420206555808461,0.09146431780991933,0.1948113558043893,1.0660632810552462,0.0,0.3802286400427873
20262007,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9468851331340166,0.7967808043874182,0.1501043287465983,0.1055387001413112,0.19516608648105915,1.0173489863877925,0.0,0.3234947242829939
20262008,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9223423648734644,0.7967808043874182,0.12556156048604605,0.07416726654866168,0.1730363344317542,1.0575353279768267,0.0,0.3551673706423684
20262009,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9188346910831149,0.7967808043874182,0.12205388669569683,0.08030835146131106,0.16843964030202715,1.0770188810083041,0.0,0.3252513340543707
20262010,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9304425160933217,0.7967808043874182,0.13366171170590357,0.08702791879565741,0.1836023972312328,0.9892840190429439,0.0,0.3021689213524779
20262011,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9236415835260996,0.7967808043874182,0.12686077913868132,0.08495505879411022,0.17688381646231163,0.9903024710615582,0.0,0.3220247123409456
20262012,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.939470197476323,0.7967808043874182,0.14268939308890471,0.10169771550596494,0.188974372383701,1.1228277886346174,0.0,0.3269429924124691
20262013,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9202678645819072,0.7967808043874182,0.12348706019448896,0.08148832964946422,0.16807085710421132,1.0671678627714545,0.0,0.34815644920843564
20262014,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.92592805229014,0.7967808043874182,0.1291472479027218,0.08162875503975037,0.17924340030567057,1.105670652707907,0.0,0.2801805288694573
20262015,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.93056542239689,0.7967808043874182,0.13378461800947183,0.09118373086682785,0.18155441528328056,1.087507800139617,0.0,0.3644311972795038
20262016,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9512027551781745,0.7967808043874182,0.15442195079075616,0.09234235775721572,0.2322302368974306,1.101308796512714,0.0,0.34409960796762096
20262017,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9699294542967956,0.7967808043874182,0.1731486499093774,0.1114411090434906,0.23956229735164355,1.0211258822796108,0.0,0.3786777099284373
20262018,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9247862397664383,0.7967808043874182,0.1280054353790201,0.07641823593767826,0.18294780046885678,1.1195894836665,0.0,0.348844795682922
20262019,60,5d6fb82bdf1f8f96050f8c5c23c311cb352a827c2c3d952f9777a244018353f7,0.9408723225680681,0.7967808043874182,0.1440915181806499,0.09853362860914903,0.19569311135942877,1.0650921796235984,0.0,0.33633955014203487
