model,samples,subjects,prediction_pairs,row_weighted_rmse_sd,equal_subject_weighted_rmse_sd,pooled_r2,precision_at_k,ndcg_at_k
degree_preserving_random_structural_ridge,1539,112,758727,0.4096149488129985,0.4192588106713352,0.8364501680261235,0.7439896036387265,0.8039795849672092
population_mean,1539,112,758727,1.012863093306374,1.0652330100172904,0.0,0.15447260125622697,0.3693806948590562
structural_descriptor_ridge,1539,112,758727,0.30912170664436084,0.3167860310392503,0.9068554365252983,0.8876759800736408,0.8908817343363331
