reference,challenger,subjects,draws,rmse_improvement_sd,rmse_ci_lower,rmse_ci_upper,precision_improvement,precision_ci_lower,precision_ci_upper
population_mean,structural_descriptor_ridge,112,5000,0.7484469789780401,0.6973635538050482,0.8012718804857117,0.7276385605032112,0.7001122740760286,0.7537578998865931
degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.1024727796320849,0.09714787003824998,0.10780107268317204,0.13680072776168073,0.12212329620426947,0.15217251430554987
family_score_ridge,structural_descriptor_ridge,112,5000,0.3511977625225565,0.3314323668480054,0.37091845716543015,0.49381793014546965,0.459874130817389,0.5271706594662984
all_visible_ridge,structural_descriptor_ridge,112,5000,-0.13880071483615605,-0.1446571247836157,-0.1333151182921678,-0.0891282201572956,-0.09929121201524185,-0.07944217573276705
