sample_id,subject_id,mask,repeat,fold,model,hidden_features,mean_squared_error,truth_energy,precision_at_k,ndcg_at_k
04032019_C5_batch18-New_1464_NewZOZOW1T-7029,ZOZOW1T,0,0,0,population_mean,103,0.6785227134745361,0.6785227134745361,0.0,0.5334512734635913
04102019_C5_batch21-__477__ZOZOW1T-7030_1306,ZOZOW1T,0,0,0,population_mean,103,0.8244979701835898,0.8244979701835898,0.0,0.34869647001967274
02182019_C5_batch03-ZWFDEY0-07_104,ZWFDEY0,0,0,0,population_mean,103,0.3152359715975917,0.3152359715975917,1.0,0.8237808262855237
02202019_C5_batch04-ZWFDEY0-09_215,ZWFDEY0,0,0,0,population_mean,103,0.5965414836378478,0.5965414836378478,0.6666666666666666,0.7532083387448527
02222019_C5_batch05-ZWFDEY0-05_267,ZWFDEY0,0,0,0,population_mean,103,0.4011254095130021,0.4011254095130021,0.6666666666666666,0.5403622417461239
02272019_C5_batch07-__1130__ZWFDEY0-08_440,ZWFDEY0,0,0,0,population_mean,103,0.6160614682711784,0.6160614682711784,0.3333333333333333,0.27768393532237906
02272019_C5_batch07-__336__ZWFDEY0-01_451,ZWFDEY0,0,0,0,population_mean,103,0.35163855737786925,0.35163855737786925,0.6666666666666666,0.5319735876648358
03062019_C5_batch10-__1428__ZWFDEY0-11_666,ZWFDEY0,0,0,0,population_mean,103,0.16791504565634116,0.16791504565634116,0.6666666666666666,0.6308376910615233
03082019_C5_batch11-__1039__ZWFDEY0-12_695,ZWFDEY0,0,0,0,population_mean,103,0.3345032725390688,0.3345032725390688,0.3333333333333333,0.4113317939019538
03082019_C5_batch11-__1461__ZWFDEY0-06_698,ZWFDEY0,0,0,0,population_mean,103,0.6022610266425905,0.6022610266425905,0.6666666666666666,0.6480893126866777
04052019_C5_batch19-__209__ZWFDEY0-04_1226,ZWFDEY0,0,0,0,population_mean,103,0.9340037987682206,0.9340037987682206,0.3333333333333333,0.3352389650530346
04052019_C5_batch19-New_143_NewZWFDEY0-Quarterly Visit 13.01,ZWFDEY0,0,0,0,population_mean,103,0.3955894165407029,0.3955894165407029,0.6666666666666666,0.5641627603304514
04082019_C5_batch20-__584__ZWFDEY0-10_1300,ZWFDEY0,0,0,0,population_mean,103,0.31398128024597904,0.31398128024597904,0.6666666666666666,0.7104255685391622
02132019_C5_batch02-ZVM4N7A-11_76,ZVM4N7A,0,0,0,population_mean,103,1.2119744104427124,1.2119744104427124,0.0,0.31536082676601607
02182019_C5_batch03-ZQMVU4Q-05_96,ZQMVU4Q,0,0,0,population_mean,103,0.5274987475396482,0.5274987475396482,0.0,0.20199380939060865
02182019_C5_batch03-ZVM4N7A-10_160,ZVM4N7A,0,0,0,population_mean,103,0.8130989458310696,0.8130989458310696,0.3333333333333333,0.4731895522142418
02182019_C5_batch03-ZVM4N7A-12_138,ZVM4N7A,0,0,0,population_mean,103,0.7348400780890818,0.7348400780890818,0.6666666666666666,0.4718538165931347
02272019_C5_batch07-__1401__ZVM4N7A-6021_392,ZVM4N7A,0,0,0,population_mean,103,1.1802408921429917,1.1802408921429917,0.0,0.37744707860651133
02272019_C5_batch07-__60__ZQMVU4Q-01_393,ZQMVU4Q,0,0,0,population_mean,103,1.5987057438636132,1.5987057438636132,0.0,0.2109992996588329
03062019_C5_batch10-__414__ZVM4N7A-07_658,ZVM4N7A,0,0,0,population_mean,103,1.703589057967647,1.703589057967647,0.0,0.3500845772186694
03082019_C5_batch11-__1027__ZQMVU4Q-03_699,ZQMVU4Q,0,0,0,population_mean,103,1.2778389848461984,1.2778389848461984,0.0,0.31022703594927636
03082019_C5_batch11-__560__ZQMVU4Q-07_687,ZQMVU4Q,0,0,0,population_mean,103,1.2150985797162255,1.2150985797162255,0.0,0.34954623896396453
03082019_C5_batch11-__782__ZQMVU4Q-06_733,ZQMVU4Q,0,0,0,population_mean,103,0.4682583538000429,0.4682583538000429,0.3333333333333333,0.3315833311168271
03132019_C5_batch13-__184__ZVM4N7A-01_852,ZVM4N7A,0,0,0,population_mean,103,0.7795386414705097,0.7795386414705097,0.3333333333333333,0.31528521253948505
03252019_C5_batch14-__153__ZVM4N7A-09_929,ZVM4N7A,0,0,0,population_mean,103,2.896858170131957,2.896858170131957,0.0,0.31185590027991184
03292019_C5_batch16-__1247__ZVM4N7A_1043,ZVM4N7A,0,0,0,population_mean,103,0.7683130274211578,0.7683130274211578,0.0,0.38638119196859283
03292019_C5_batch16-__1317__ZQMVU4Q-04_1019,ZQMVU4Q,0,0,0,population_mean,103,0.8462302165175705,0.8462302165175705,0.3333333333333333,0.35582366205058
02272019_C5_batch07-__593__ZPF36E2-07_413,ZPF36E2,0,0,0,population_mean,103,2.209360098592915,2.209360098592915,0.0,0.24330405963900098
03062019_C5_batch10-__759__ZPF36E2-01_612,ZPF36E2,0,0,0,population_mean,103,1.5177127250265552,1.5177127250265552,0.0,0.36181419366237294
03082019_C5_batch11-__413__ZTTL3YH-01_697,ZTTL3YH,0,0,0,population_mean,103,1.9076332611800266,1.9076332611800266,0.0,0.23413293419295128
03112019_C5_batch12-__920__ZPF36E2-05_825,ZPF36E2,0,0,0,population_mean,103,2.800899131009471,2.800899131009471,0.3333333333333333,0.49547592181378963
03132019_C5_batch13-__1478__ZPF36E2-03_864,ZPF36E2,0,0,0,population_mean,103,1.9787649998292873,1.9787649998292873,0.0,0.21422718160443457
03252019_C5_batch14-__131__ZPF36E2-6_947,ZPF36E2,0,0,0,population_mean,103,1.1771727307972586,1.1771727307972586,0.3333333333333333,0.6025016947513517
03272019_C5_batch15-New_87_NewZPF36E2-01-E11,ZPF36E2,0,0,0,population_mean,103,3.1160923390287185,3.1160923390287185,0.0,0.4783108687452787
04102019_C5_batch21-__583__ZPF36E2-04_1341,ZPF36E2,0,0,0,population_mean,103,0.7095555347633385,0.7095555347633385,0.6666666666666666,0.7934773563754668
02202019_C5_batch04-ZMBH10Z-06_196,ZMBH10Z,0,0,0,population_mean,103,1.1344904059483243,1.1344904059483243,0.0,0.22608465593396607
03062019_C5_batch10-__715__ZMBH10Z-05_671,ZMBH10Z,0,0,0,population_mean,103,1.1402967265877506,1.1402967265877506,0.3333333333333333,0.776021628626587
03252019_C5_batch14-__297__ZMBH10Z-01_935,ZMBH10Z,0,0,0,population_mean,103,2.478579537054576,2.478579537054576,0.0,0.2271823765483612
04052019_C5_batch19-__1023__ZMBH10Z-09_1216,ZMBH10Z,0,0,0,population_mean,103,0.9952971027574421,0.9952971027574421,0.3333333333333333,0.5181365946602194
04052019_C5_batch19-New_50_NewZMBH10Z-10,ZMBH10Z,0,0,0,population_mean,103,0.5856254172607628,0.5856254172607628,0.6666666666666666,0.7934436931837469
04102019_C5_batch21-__984__ZMBH10Z-08_1314,ZMBH10Z,0,0,0,population_mean,103,0.533328371502751,0.533328371502751,0.0,0.14817532355369323
04152019_C5_batch22-__31__ZMBH10Z-04_1377,ZMBH10Z,0,0,0,population_mean,103,2.6722180363769206,2.6722180363769206,0.0,0.13871031818957305
02122019_C5_batch01-ZQFL1P3-6011_45,ZQFL1P3,0,0,0,population_mean,103,0.7198304015418002,0.7198304015418002,0.0,0.2989459197039711
02202019_C5_batch04-ZK4CK8Y-01_199,ZK4CK8Y,0,0,0,population_mean,103,0.5847839587234341,0.5847839587234341,0.0,0.15390107173761713
03012019_C5_batch08-__1276__ZK4CK8Y-10_506,ZK4CK8Y,0,0,0,population_mean,103,1.746040335398832,1.746040335398832,0.0,0.22555188048287272
03042019_C5_batch09-__401__ZQFL1P3-03_597,ZQFL1P3,0,0,0,population_mean,103,1.5037776632772204,1.5037776632772204,0.0,0.26631861196224194
03082019_C5_batch11-__1208__ZQFL1P3_750,ZQFL1P3,0,0,0,population_mean,103,0.6290308581277032,0.6290308581277032,0.0,0.20774685419900732
03082019_C5_batch11-__461__ZQFL1P3-01_730,ZQFL1P3,0,0,0,population_mean,103,0.375824525395958,0.375824525395958,0.6666666666666666,0.8779057093130755
03082019_C5_batch11-__650__ZQFL1P3-6021_738,ZQFL1P3,0,0,0,population_mean,103,0.6786877528815011,0.6786877528815011,0.0,0.37819295278387277
03082019_C5_batch11-__773__ZK4CK8Y-05_683,ZK4CK8Y,0,0,0,population_mean,103,0.758159622683083,0.758159622683083,0.0,0.24453374723732157
03132019_C5_batch13-__12__ZQFL1P3-04_888,ZQFL1P3,0,0,0,population_mean,103,1.1677266223894178,1.1677266223894178,0.0,0.35213827527793207
