assay_metabolite_id,human_gem_base_id,display_name,mapping_status,matched_by,candidate_human_gem_base_ids,hmdb_id,chebi_id,mapping_origin
leucine,MAM02360,leucine,mapped,HMDB;ChEBI,MAM02360,HMDB0000687,CHEBI:15603,unique_exact_normalized_name
lysine,MAM02426,lysine,mapped,HMDB;ChEBI,MAM02426,HMDB0000182,CHEBI:18019,unique_exact_normalized_name
malate,MAM02439,malate,mapped,HMDB;ChEBI,MAM02439,HMDB0000156,CHEBI:30797,unique_exact_normalized_name
malonylcarnitine,MAM02443,malonyl-carnitine,mapped,HMDB,MAM02443,HMDB0002095,,unique_exact_normalized_name
methionine,MAM02471,methionine,mapped,HMDB;ChEBI,MAM02471,HMDB0000696,CHEBI:16643,unique_exact_normalized_name
oxalate,MAM02661,oxalate,mapped,ChEBI,MAM02661,,CHEBI:16995,unique_exact_normalized_name
pantothenate,MAM02680,pantothenate,mapped,HMDB;ChEBI,MAM02680,HMDB0000210,CHEBI:7916,unique_exact_normalized_name
phenylalanine,MAM02724,phenylalanine,mapped,HMDB;ChEBI,MAM02724,HMDB0000159,CHEBI:17295,unique_exact_normalized_name
proline,MAM02770,proline,mapped,HMDB;ChEBI,MAM02770,HMDB0000162,CHEBI:17203,unique_exact_normalized_name
putrescine,MAM02812,putrescine,mapped,HMDB;ChEBI,MAM02812,HMDB0001414,CHEBI:17148,unique_exact_normalized_name
sarcosine,MAM02880,sarcosine,mapped,HMDB;ChEBI,MAM02880,HMDB0000271,CHEBI:15611,unique_exact_normalized_name
serotonin,MAM02897,serotonin,mapped,HMDB;ChEBI,MAM02897,HMDB0000259,CHEBI:28790,unique_exact_normalized_name
sucrose,MAM02945,sucrose,mapped,HMDB;ChEBI,MAM02945,HMDB0000258,CHEBI:17992,unique_exact_normalized_name
taurine,MAM02961,taurine,mapped,HMDB;ChEBI,MAM02961,HMDB0000251,CHEBI:15891,unique_exact_normalized_name
taurocholate,MAM02963,taurocholate,mapped,HMDB;ChEBI,MAM02963,HMDB0000036,CHEBI:28865,unique_exact_normalized_name
threonine,MAM02993,threonine,mapped,HMDB;ChEBI,MAM02993,HMDB0000167,CHEBI:16857,unique_exact_normalized_name
thymidine,MAM02996,thymidine,mapped,HMDB;ChEBI,MAM02996,HMDB0000273,CHEBI:17748,unique_exact_normalized_name
thymine,MAM02997,thymine,mapped,HMDB;ChEBI,MAM02997,HMDB0000262,CHEBI:17821,unique_exact_normalized_name
thyroxine,MAM02998,thyroxine,mapped,HMDB;ChEBI,MAM02998,HMDB0000248,CHEBI:18332,unique_exact_normalized_name
trimethylamine-N-oxide,MAM03054,trimethylamine-N-oxide,mapped,ChEBI,MAM03054,,CHEBI:15724,unique_exact_normalized_name
tryptophan,MAM03089,tryptophan,mapped,HMDB;ChEBI,MAM03089,HMDB0000929,CHEBI:16828,unique_exact_normalized_name
tyrosine,MAM03101,tyrosine,mapped,HMDB;ChEBI,MAM03101,HMDB0000158,CHEBI:17895,unique_exact_normalized_name
uracil,MAM03118,uracil,mapped,HMDB;ChEBI,MAM03118,HMDB0000300,CHEBI:17568,unique_exact_normalized_name
urate,MAM03120,urate,mapped,HMDB;ChEBI,MAM03120,HMDB0000289,CHEBI:17775,unique_exact_normalized_name
uridine,MAM03123,uridine,mapped,HMDB;ChEBI,MAM03123,HMDB0000296,CHEBI:16704,unique_exact_normalized_name
valine,MAM03135,valine,mapped,HMDB;ChEBI,MAM03135,HMDB0000883,CHEBI:16414,unique_exact_normalized_name
xanthine,MAM03148,xanthine,mapped,HMDB;ChEBI,MAM03148,HMDB0000292,CHEBI:17712,unique_exact_normalized_name
xanthosine,MAM03149,xanthosine,mapped,HMDB;ChEBI,MAM03149,HMDB0000299,CHEBI:18107,unique_exact_normalized_name
